,TargetSoundSeg,targetSegOnset,targetSegSize,CorpusSoundSeg,corpusSegOnset,corpusSegSize,DISTANCE_BETWEEN_SEGS
0,ic-demo1.wav-tran,22660,3914,Cowbell1S.wav-tran,23690,2266,0.6352104175224086
1,ic-demo1.wav-dsr,26574,12772,CymbalStrike1S.wav-dsr,26624,102400,0.2503686215217619
2,ic-demo1.wav-tran,39552,1442,MetalShaker2S.wav-tran,23072,1442,0.6128092319603855
3,ic-demo1.wav-dsr,40994,7004,CymbalStrike2S.wav-dsr,24576,219136,0.2868791090119647
4,ic-demo1.wav-tran,57474,1236,MetalShaker2S.wav-tran,23072,1442,0.9347153794203698
5,ic-demo1.wav-dsr,58710,412,Bongo2.wav-dsr,21836,3502,1.5369384336366252
6,ic-demo1.wav-tran,105266,1030,MetalShaker2S.wav-tran,23072,1442,0.998676367527289
7,ic-demo1.wav-dsr,106296,824,SnareBrightFSharpKeyS.wav-dsr,23484,9064,0.4489804714864836
8,ic-demo1.wav-tran,118244,1854,MetalShaker2S.wav-tran,23072,1442,0.2921591121073239
9,ic-demo1.wav-dsr,120098,618,CongaSlap.wav-dsr,55414,3708,0.6273124655904465
10,ic-demo1.wav-tran,123806,412,SnareBrightFSharpKeyS.wav-tran,23072,412,1.9260378695968912
11,ic-demo1.wav-dsr,124218,206,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,1.2136250158611033
12,ic-demo1.wav-tran,129574,1030,MetalShaker2S.wav-tran,23072,1442,0.7005725883607083
13,ic-demo1.wav-dsr,130604,412,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,0.7441857727816655
14,ic-demo1.wav-tran,142964,2678,MetalShaker2S.wav-tran,23072,1442,0.4418727032550518
15,ic-demo1.wav-dsr,145642,4326,CymbalStrike2S.wav-dsr,24576,219136,0.13281688368049058
16,ic-demo1.wav-tran,166036,824,MetalShaker2S.wav-tran,23072,1442,1.103644507670654
17,ic-demo1.wav-dsr,166860,206,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,0.4944842072311108
18,ic-demo1.wav-tran,178396,1236,MetalShaker2S.wav-tran,23072,1442,0.5669747920588372
19,ic-demo1.wav-dsr,179632,412,CymbalChoke3S.wav-dsr,24514,11124,0.6114933087823461
20,ic-demo1.wav-tran,182516,1236,MetalShaker2S.wav-tran,23072,1442,0.3991994168190669
21,ic-demo1.wav-dsr,183752,412,Bongo1.wav-dsr,24720,2266,0.5012643145219099
22,ic-demo1.wav-tran,192816,824,SnareBrightFSharpKeyS.wav-tran,23072,412,1.2461132315077401
23,ic-demo1.wav-dsr,193640,206,TomHugeLowCSharpKeyS.wav-dsr,22454,17510,1.409523200172953
24,ic-demo1.wav-tran,198584,2060,MetalShaker2S.wav-tran,23072,1442,0.6123269505843261
25,ic-demo1.wav-dsr,200644,618,CongaSlap.wav-dsr,55414,3708,0.3689511343923618
26,ic-demo1.wav-tran,205176,1030,MetalShaker2S.wav-tran,23072,1442,1.0100896702641933
27,ic-demo1.wav-dsr,206206,206,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,1.7634861156721142
